,Unnamed: 0,Teacher_ID,Full_Name,Subject,Grade_Level,Years_Exp,Regional_Priority_Skills,School_SES_Rating,Student_Teacher_Ratio,Region,Skills
44,44,T1044,Teacher_44,English Literature,9,11,Standard_Curriculum,0.29,29.5,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
45,45,T1045,Teacher_45,English Literature,9,8,Standard_Curriculum,0.88,19.2,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
46,46,T1046,Teacher_46,Computer Science,6,17,"AI_Literacy, Digital_Citizenship",0.88,18.1,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
47,47,T1047,Teacher_47,Physics,9,2,Data_Ethics,0.13,31.1,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
48,48,T1048,Teacher_48,World History,8,10,Standard_Curriculum,0.69,21.1,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
49,49,T1049,Teacher_49,Mathematics,7,6,Data_Ethics,0.36,29.7,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
50,50,T1050,Teacher_50,Mathematics,10,9,"Data_Ethics, Mental_Health_First_Aid",0.66,22.3,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
51,51,T1051,Teacher_51,Physics,8,2,"Data_Ethics, Mental_Health_First_Aid",0.72,18.9,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
52,52,T1052,Teacher_52,Biology,12,9,"Climate_Science, Mental_Health_First_Aid",0.89,18.9,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
53,53,T1053,Teacher_53,World History,8,11,Standard_Curriculum,0.78,16.8,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
54,54,T1054,Teacher_54,Chemistry,8,9,Data_Ethics,0.48,25.9,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
55,55,T1055,Teacher_55,Biology,7,1,Climate_Science,0.98,15.3,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
56,56,T1056,Teacher_56,Chemistry,8,19,Data_Ethics,0.06,32.4,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
57,57,T1057,Teacher_57,Chemistry,8,5,Data_Ethics,0.17,30.8,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
58,58,T1058,Teacher_58,Mathematics,10,5,Data_Ethics,0.84,18.5,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
59,59,T1059,Teacher_59,Computer Science,10,8,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.73,19.2,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
60,60,T1060,Teacher_60,Physics,10,12,"Data_Ethics, Mental_Health_First_Aid",0.88,18.8,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
61,61,T1061,Teacher_61,Mathematics,12,4,Data_Ethics,0.04,35.5,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
62,62,T1062,Teacher_62,English Literature,7,19,Mental_Health_First_Aid,0.9,16.0,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
63,63,T1063,Teacher_63,Physics,7,1,"Data_Ethics, Mental_Health_First_Aid",0.88,15.5,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
64,64,T1064,Teacher_64,World History,8,11,Mental_Health_First_Aid,0.12,32.5,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
65,65,T1065,Teacher_65,Physics,12,14,Data_Ethics,0.22,31.6,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
66,66,T1066,Teacher_66,Biology,12,6,Climate_Science,0.72,18.1,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
67,67,T1067,Teacher_67,Physics,10,4,"Data_Ethics, Mental_Health_First_Aid",0.92,20.3,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
68,68,T1068,Teacher_68,World History,12,9,Standard_Curriculum,0.77,19.4,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
69,69,T1069,Teacher_69,English Literature,8,5,Standard_Curriculum,0.12,35.7,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
70,70,T1070,Teacher_70,English Literature,7,6,Standard_Curriculum,0.27,28.3,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
71,71,T1071,Teacher_71,Mathematics,6,12,Data_Ethics,0.88,19.1,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
72,72,T1072,Teacher_72,Computer Science,12,12,"AI_Literacy, Digital_Citizenship",0.93,15.2,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
73,73,T1073,Teacher_73,World History,9,10,Standard_Curriculum,0.24,28.7,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
74,74,T1074,Teacher_74,English Literature,10,12,Mental_Health_First_Aid,0.97,16.0,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
75,75,T1075,Teacher_75,Chemistry,11,1,Data_Ethics,0.86,16.1,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
76,76,T1076,Teacher_76,Mathematics,6,16,"Data_Ethics, Mental_Health_First_Aid",0.82,16.9,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
77,77,T1077,Teacher_77,World History,8,3,Standard_Curriculum,0.81,20.4,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
78,78,T1078,Teacher_78,English Literature,12,13,Mental_Health_First_Aid,0.09,29.7,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
79,79,T1079,Teacher_79,Physics,12,6,Data_Ethics,0.41,26.4,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
80,80,T1080,Teacher_80,World History,10,13,Standard_Curriculum,0.84,19.0,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
81,81,T1081,Teacher_81,Mathematics,9,20,Data_Ethics,0.17,31.4,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
82,82,T1082,Teacher_82,English Literature,6,20,Mental_Health_First_Aid,0.05,30.0,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
83,83,T1083,Teacher_83,Physics,11,6,Data_Ethics,0.94,15.0,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
84,84,T1084,Teacher_84,Biology,6,10,"Climate_Science, Mental_Health_First_Aid",0.86,16.7,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
85,85,T1085,Teacher_85,English Literature,11,12,Standard_Curriculum,0.68,22.0,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
86,86,T1086,Teacher_86,Biology,10,1,"Climate_Science, Mental_Health_First_Aid",0.07,34.3,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
87,87,T1087,Teacher_87,Chemistry,9,10,Data_Ethics,0.88,19.0,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
88,88,T1088,Teacher_88,Biology,10,4,Climate_Science,0.86,16.3,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
89,89,T1089,Teacher_89,Computer Science,6,16,"AI_Literacy, Digital_Citizenship",0.75,18.2,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
90,90,T1090,Teacher_90,Physics,7,13,Data_Ethics,0.87,19.6,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
91,91,T1091,Teacher_91,English Literature,6,5,Standard_Curriculum,0.17,30.2,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
92,92,T1092,Teacher_92,English Literature,6,13,Standard_Curriculum,0.36,26.3,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
93,93,T1093,Teacher_93,Mathematics,8,6,"Data_Ethics, Mental_Health_First_Aid",0.82,18.8,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
94,94,T1094,Teacher_94,World History,11,11,Standard_Curriculum,0.09,34.7,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
95,95,T1095,Teacher_95,English Literature,6,7,Mental_Health_First_Aid,0.83,17.6,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
96,96,T1096,Teacher_96,Biology,8,1,Climate_Science,0.44,25.9,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
97,97,T1097,Teacher_97,Chemistry,12,14,Data_Ethics,0.87,18.8,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
98,98,T1098,Teacher_98,World History,12,8,Standard_Curriculum,0.14,33.6,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
99,99,T1099,Teacher_99,Mathematics,11,5,Data_Ethics,0.05,34.6,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
100,100,T1100,Teacher_100,English Literature,11,1,Standard_Curriculum,0.73,20.5,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
101,101,T1101,Teacher_101,Chemistry,8,13,Data_Ethics,0.08,32.7,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
102,102,T1102,Teacher_102,Computer Science,9,15,"AI_Literacy, Digital_Citizenship",0.19,28.3,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
103,103,T1103,Teacher_103,Biology,9,1,Climate_Science,0.96,17.0,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
104,104,T1104,Teacher_104,Physics,6,9,Data_Ethics,0.35,27.4,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
105,105,T1105,Teacher_105,Physics,8,7,Data_Ethics,0.65,19.5,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
106,106,T1106,Teacher_106,Chemistry,7,8,Data_Ethics,0.7,20.8,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
107,107,T1107,Teacher_107,Chemistry,8,13,"Data_Ethics, Mental_Health_First_Aid",0.73,17.8,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
108,108,T1108,Teacher_108,Chemistry,10,1,"Data_Ethics, Mental_Health_First_Aid",0.86,19.5,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
109,109,T1109,Teacher_109,Mathematics,11,8,Data_Ethics,0.84,18.7,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
110,110,T1110,Teacher_110,Biology,12,4,Climate_Science,0.88,17.7,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
111,111,T1111,Teacher_111,Physics,9,7,Data_Ethics,0.85,16.5,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
112,112,T1112,Teacher_112,Physics,9,8,"Data_Ethics, Mental_Health_First_Aid",0.88,16.9,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
113,113,T1113,Teacher_113,Computer Science,11,13,"AI_Literacy, Digital_Citizenship",0.9,18.1,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
114,114,T1114,Teacher_114,World History,6,12,Mental_Health_First_Aid,0.07,32.7,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
115,115,T1115,Teacher_115,Mathematics,11,7,Data_Ethics,0.93,16.5,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
116,116,T1116,Teacher_116,English Literature,10,13,Standard_Curriculum,0.68,22.0,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
117,117,T1117,Teacher_117,English Literature,8,9,Standard_Curriculum,0.78,18.2,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
118,118,T1118,Teacher_118,Mathematics,6,11,Data_Ethics,0.98,17.8,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
119,119,T1119,Teacher_119,Computer Science,8,1,"AI_Literacy, Digital_Citizenship",0.24,28.1,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
120,120,T1120,Teacher_120,Mathematics,11,11,"Data_Ethics, Mental_Health_First_Aid",0.04,37.1,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
121,121,T1121,Teacher_121,Physics,11,6,Data_Ethics,0.8,20.4,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
122,122,T1122,Teacher_122,Mathematics,6,12,"Data_Ethics, Mental_Health_First_Aid",0.86,17.9,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
123,123,T1123,Teacher_123,Mathematics,10,4,"Data_Ethics, Mental_Health_First_Aid",0.88,18.8,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
124,124,T1124,Teacher_124,Physics,12,10,Data_Ethics,0.76,21.7,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
125,125,T1125,Teacher_125,Computer Science,8,10,"AI_Literacy, Digital_Citizenship",0.81,21.3,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
126,126,T1126,Teacher_126,Biology,12,5,Climate_Science,0.55,23.7,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
127,127,T1127,Teacher_127,Chemistry,9,13,Data_Ethics,0.81,18.4,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
128,128,T1128,Teacher_128,World History,10,1,Standard_Curriculum,0.83,16.1,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
129,129,T1129,Teacher_129,English Literature,7,18,Standard_Curriculum,0.7,23.2,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
130,130,T1130,Teacher_130,Computer Science,6,14,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.87,17.4,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
131,131,T1131,Teacher_131,Computer Science,6,13,"AI_Literacy, Digital_Citizenship",0.04,34.2,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
132,132,T1132,Teacher_132,Biology,9,7,Climate_Science,0.94,13.9,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
133,133,T1133,Teacher_133,Chemistry,9,5,Data_Ethics,0.21,31.3,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
134,134,T1134,Teacher_134,Computer Science,11,14,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.17,32.7,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
135,135,T1135,Teacher_135,English Literature,6,7,Standard_Curriculum,0.17,28.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
136,136,T1136,Teacher_136,Biology,11,22,"Climate_Science, Mental_Health_First_Aid",0.41,25.9,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
137,137,T1137,Teacher_137,English Literature,12,17,Mental_Health_First_Aid,0.57,22.9,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
138,138,T1138,Teacher_138,Mathematics,11,8,Data_Ethics,0.66,19.4,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
139,139,T1139,Teacher_139,Mathematics,6,12,Data_Ethics,0.86,19.2,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
140,140,T1140,Teacher_140,English Literature,6,7,Standard_Curriculum,0.85,20.0,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
